group,n_las,mean_baseline,mean_slope,median_slope,std_slope,mean_change,pct_improving,pct_deteriorating,pct_stable,measure
Northern Ireland Countryside,8,8.025,-0.004,-0.003,0.017,0.049,0.0,12.5,87.5,worthwhile
Remoter Coastal Living,18,7.848,0.001,-0.007,0.018,-0.029,11.111,0.0,88.889,worthwhile
Rural-Urban Fringe,15,7.771,0.007,0.01,0.02,-0.163,6.667,0.0,93.333,worthwhile
Scottish Countryside,11,7.847,0.013,0.012,0.012,0.099,27.273,0.0,72.727,worthwhile
Scottish Industrial Heritage,13,7.645,0.009,0.01,0.013,0.045,0.0,7.692,92.308,worthwhile
"Services, Manufacturing and Mining Legacy",41,7.654,0.013,0.01,0.012,0.079,14.634,0.0,85.366,worthwhile
Suburban Traits,20,7.648,0.02,0.019,0.017,0.146,35.0,0.0,65.0,worthwhile
Thriving Rural,32,7.801,0.005,0.004,0.009,0.078,0.0,0.0,100.0,worthwhile
Town Living,29,7.73,0.02,0.017,0.021,0.083,31.034,0.0,68.966,worthwhile
University Towns and Cities,7,7.579,0.014,0.009,0.011,0.016,14.286,0.0,85.714,worthwhile
Country Living,37,7.426,0.006,0.004,0.016,0.091,2.703,0.0,97.297,happiness
English and Welsh Countryside,36,7.46,0.012,0.011,0.022,0.086,13.889,0.0,86.111,happiness
Ethnically Diverse Metropolitan  Living,19,7.164,0.027,0.026,0.02,0.217,36.842,0.0,63.158,happiness
Larger Towns and Cities,27,7.249,0.01,0.008,0.017,0.048,14.815,0.0,85.185,happiness
London Cosmopolitan,10,7.201,0.004,0.008,0.023,0.042,10.0,10.0,80.0,happiness
Manufacturing Traits,31,7.214,0.016,0.013,0.015,0.113,25.806,0.0,74.194,happiness
Northern Ireland Countryside,8,7.775,-0.014,-0.015,0.025,-0.049,0.0,37.5,62.5,happiness
Remoter Coastal Living,18,7.476,0.007,0.004,0.017,-0.001,11.111,0.0,88.889,happiness
Rural-Urban Fringe,15,7.295,0.011,0.01,0.025,0.075,13.333,6.667,80.0,happiness
Scottish Countryside,11,7.536,0.013,0.015,0.013,0.119,27.273,0.0,72.727,happiness
Scottish Industrial Heritage,13,7.241,0.009,0.01,0.013,0.088,15.385,0.0,84.615,happiness
"Services, Manufacturing and Mining Legacy",41,7.187,0.016,0.017,0.014,0.192,26.829,0.0,73.171,happiness
Suburban Traits,20,7.251,0.017,0.016,0.019,0.094,15.0,0.0,85.0,happiness
Thriving Rural,32,7.424,0.007,0.005,0.018,0.086,6.25,0.0,93.75,happiness
Town Living,29,7.329,0.017,0.015,0.018,0.046,17.241,0.0,82.759,happiness
University Towns and Cities,7,7.201,0.011,0.009,0.019,-0.006,28.571,0.0,71.429,happiness
Country Living,37,2.978,0.02,0.022,0.029,0.101,2.703,16.216,81.081,anxiety
English and Welsh Countryside,36,2.961,0.01,0.014,0.024,0.065,0.0,11.111,88.889,anxiety
Ethnically Diverse Metropolitan  Living,19,3.357,-0.008,-0.004,0.032,-0.12,21.053,0.0,78.947,anxiety
Larger Towns and Cities,27,3.214,0.025,0.026,0.025,0.203,0.0,25.926,74.074,anxiety
London Cosmopolitan,10,3.484,0.006,0.012,0.037,-0.024,10.0,30.0,60.0,anxiety
Manufacturing Traits,31,3.118,0.006,0.007,0.035,0.194,6.452,16.129,77.419,anxiety
Northern Ireland Countryside,8,2.617,0.026,0.019,0.049,0.089,0.0,25.0,75.0,anxiety
Remoter Coastal Living,18,2.99,0.021,0.016,0.026,0.154,0.0,22.222,77.778,anxiety
Rural-Urban Fringe,15,3.215,0.002,0.0,0.037,0.143,0.0,6.667,93.333,anxiety
Scottish Countryside,11,2.822,0.014,0.009,0.028,0.117,0.0,27.273,72.727,anxiety
Scottish Industrial Heritage,13,3.146,0.007,0.004,0.021,0.057,0.0,15.385,84.615,anxiety
"Services, Manufacturing and Mining Legacy",41,3.155,0.01,0.007,0.023,0.101,4.878,9.756,85.366,anxiety
Suburban Traits,20,3.134,0.007,0.004,0.033,0.28,5.0,15.0,80.0,anxiety
Thriving Rural,32,3.039,0.018,0.022,0.031,0.112,3.125,18.75,78.125,anxiety
Town Living,29,3.095,0.004,0.002,0.029,0.151,0.0,3.448,96.552,anxiety
University Towns and Cities,7,3.299,0.017,0.008,0.023,0.034,0.0,28.571,71.429,anxiety
